id,城市,国家
9221,韦吉斯,瑞士
9210,福伦丹,荷兰
9311,阿培尔顿,荷兰
9303,亚眠,法国
9302,阿默斯福特,荷兰
9281,阿尔比,法国
9292,阿尔克马尔,荷兰
7706,丁克尔斯比尔,德国
7668,马斯特里赫特,荷兰
7662,新北市,中国
7735,班贝格,德国
7737,芒通,法国
7750,马格德堡,德国
9066,索波特,波兰
9058,辛根,德国
7810,基隆,中国
7809,苗栗,中国
7742,维尔茨堡,德国
3455,布尔诺,捷克
3443,英格堡,瑞士
3415,棕榈湾,澳大利亚
3423,根特,比利时
3424,奥斯坦德,比利时
3456,卡罗维发利,捷克
3457,亚琛,德国
3459,埃森,德国
3461,加米施-帕藤基兴,德国
3458,巴登巴登,德国
3468,吕德斯海姆,德国
3467,罗滕堡,德国
3464,曼海姆,德国
3462,卡塞尔,德国
3469,特里尔,德国
3484,赫罗纳,西班牙
3324,奥胡斯,丹麦
3339,第戎,法国
3333,海德堡,德国
3334,福森,德国
3368,蔚山,韩国
3367,洛伊克巴德,瑞士
3392,哈伊马角,阿联酋
3386,三重,日本
3387,阿治曼,阿联酋
3390,富查伊拉,阿联酋
3402,圣沃夫冈,奥地利
3290,哈瑟尔特,荷兰
3319,卢加诺,瑞士
3191,谢菲尔德,英国
3196,斯特灵,英国
3187,利物浦,英国
3181,帕特雷,希腊
3167,因特拉肯,瑞士
3175,拉科鲁利亚,西班牙
3675,庆州,韩国
3680,尼甘布,斯里兰卡
3652,锡耶纳,意大利
3735,法蒂玛,葡萄牙
3746,林雪平,瑞典
3717,陶波,新西兰
3734,埃武拉,葡萄牙
3711,莱顿,荷兰
3584,萨洛尼卡,希腊
3576,圣托里尼,希腊
3570,罗得岛,希腊
3574,卡兰巴卡,希腊
3566,约克,英国
3624,阿尔盖罗,意大利
3640,巴勒莫,意大利
3523,普罗旺斯,法国
3539,兰斯,法国
3544,考文垂,英国
3541,鲁昂,法国
3559,纽基,英国
3552,莱斯特,英国
3534,卢尔德,法国
3536,蒙特卡洛,法国
3537,圣米歇尔山,法国
3532,南锡,法国
3519,萨拉戈萨,西班牙
3515,托莱多,西班牙
3879,奥尔良,法国
3897,卡尔斯塔德,瑞典
3899,金沙维克,挪威
3904,爱尔福特,德国
3945,雷焦卡拉布里亚,意大利
3811,夏威夷·大岛,美国
3832,凯米,芬兰
3747,马尔默,瑞典
3789,夏威夷·茂宜岛,美国
3791,夏威夷·可爱岛,美国
3804,佩奇,美国
3783,夏威夷·欧胡岛,美国
3849,台中,中国
3854,科尔多瓦,阿根廷
3844,垦丁,中国
3845,新竹,中国
3848,台东,中国
3870,贝希特斯加登,德国
3847,台南,中国
3857,南安普敦,英国
1355,班加罗尔,印度
1354,斯特拉斯堡,法国
1361,图卢兹,法国
1359,不来梅,德国
1375,怡保,马来西亚
1369,暹粒,柬埔寨
50160,富士河口湖,日本
1376,新山,马来西亚
3132,雷根斯堡,德国
3135,威斯巴登,德国
3133,吕贝克,德国
3128,布鲁日,比利时
3166,卢加诺1,瑞士
3163,蒙特勒,瑞士
3161,圣加仑,瑞士
3156,洛迦诺,瑞士
3154,洛桑,瑞士
3147,库尔,瑞士
3148,达沃斯,瑞士
3143,格林德瓦,瑞士
3144,圣莫里茨,瑞士
3142,比尔,瑞士
50390,洞爷湖,日本
62289,哈雷,德国
62884,塞戈维亚,美国
62484,弗赖贝格,德国
62606,乌瑟多姆岛,丹麦
63517,阿尔勒,法国
62245,塞舌尔,塞舌尔
62227,骊州郡,韩国
62228,杨平郡,韩国
61465,马略卡岛,西班牙
61533,坡州,韩国
61380,全州市,韩国
61325,江陵市（江原道）,韩国
40336,巴尔代约夫,斯洛伐克
41121,卡塞雷斯,西班牙
40371,普雷绍夫,斯洛伐克
40382,特尔纳瓦,斯洛伐克
40383,特伦钦,斯洛伐克
40392,班斯卡比斯特里察,斯洛文尼亚
40261,沃韦,瑞士
40285,伊韦尔东,瑞士
40105,纳沙泰尔,瑞士
40224,图恩,瑞士
40167,沙夫豪森,瑞士
40189,施皮茨,瑞士
40191,施泰因,瑞士
40039,卢塞恩,瑞士
39916,格吕耶尔,瑞士
40023,劳特布龙嫩,瑞士
39836,布里恩茨,瑞士
25003,圣旺,法国
39762,艾罗洛,瑞士
24993,圣特罗佩,法国
39161,弗洛姆,挪威
39717,延雪平,瑞典
39295,巴伦西亚,葡萄牙
6300,阿拉斯加萨拉维克,美国
34094,比斯特,英国
33929,埃格姆,英国
24154,卡马雷,法国
24874,圣马洛,法国
39019,卡那斯,卢森堡
26159,纽瓦克,美国
33331,萨沃纳,意大利
59011,弗赖堡,巴西
58525,天安,韩国
5152,嘉义,中国
5052,干尼亚,希腊
5046,克基拉,希腊
5081,尚贝里,法国
5024,卡尔卡松,法国
4990,拜罗伊特,德国
5002,贝亨奥普佐姆,荷兰
4898,布尔萨,土耳其
4801,伯恩茅斯,英国
4809,贝尔福,法国
4588,布林迪西,意大利
4497,艾尔斯岩,澳大利亚
4308,安道尔,安道尔
4294,阿尔塔,挪威
4280,旭川,日本
4249,千叶,日本
4161,温莎,加拿大
4041,卡通巴,澳大利亚
4058,塞哥维亚,西班牙
4016,丽水(KR),韩国
4017,格雷茅斯,新西兰
4006,江原道,韩国
4009,熊本,日本
4008,布拉迪斯拉发,斯洛伐克
3986,木浦,韩国
4122,克鲁姆洛夫,捷克
4081,塞班岛,美国
4072,佩斯卡拉,意大利
4126,北海道,日本
4127,沃斯,挪威
4133,山梨县,日本
4157,富良野,日本
4148,奥尔比亚,意大利
1263,都灵,意大利
1262,那不勒斯,意大利
1268,马拉加,西班牙
1266,卢布尔雅那,斯洛文尼亚
1271,阿尔及尔,阿尔及利亚
1270,伯明翰,英国
1264,马耳他,马耳他
1278,德班,南非
1286,大分,日本
1287,大邱,韩国
1289,纽卡斯尔,英国
1288,布拉格,捷克
1250,圣何塞,哥斯达黎加
1248,汉诺威,德国
1243,阿德莱德,澳大利亚
1229,苏梅岛,泰国
1231,里斯本,葡萄牙
1240,博洛尼亚,意大利
1237,塞班,美国
1163,新泻,日本
1175,奈良,日本
1166,那霸,印度尼西亚
1165,箱根,日本
1184,辛辛那提,美国
1183,圣路易斯,美国
1179,奥斯汀,美国
1225,兰卡威,马来西亚
1218,安卡拉,土耳其
1210,黄金海岸,澳大利亚
1217,安塔利亚,土耳其
1198,邓迪,英国
1199,诺丁汉,英国
1190,巴斯,英国
1191,圣巴巴拉,美国
1194,剑桥,英国
1186,新奥尔良,美国
1189,费城,美国
1187,奥兰多,美国
843,惠灵顿,新西兰
840,法鲁,葡萄牙
838,布里斯托尔,英国
854,明斯克,白俄罗斯
825,内罗毕,肯尼亚
826,波尔图,葡萄牙
827,奥斯陆,挪威
834,伯尔尼,瑞士
831,雷克亚未克,冰岛
815,林茨,奥地利
821,卑尔根,挪威
814,达累斯萨拉姆,坦桑尼亚
810,科伦坡,斯里兰卡
806,巴塞尔,瑞士
807,布宜诺斯艾利斯,阿根廷
795,克拉根福特,奥地利
800,函馆,日本
798,圣彼得堡,俄罗斯
803,都柏林,爱尔兰
805,格拉茨,奥地利
804,哥德堡,瑞典
971,全州,中国
415,圣保罗,巴西
461,多伦多,加拿大
476,温哥华,加拿大
511,西雅图,美国
570,富山,日本
625,槟城,马来西亚
647,清莱,泰国
637,布达佩斯,匈牙利
495,新德里,印度
501,悉尼,澳大利亚
585,仙台,日本
622,芭堤雅,泰国
679,堪培拉,澳大利亚
678,奥克兰,新西兰
681,珀斯,澳大利亚
680,布里斯班,澳大利亚
674,布加勒斯特,罗马尼亚
676,华盛顿,美国
675,拉斯维加斯,美国
665,卢森堡,卢森堡
666,日内瓦,瑞士
651,维也纳,奥地利
769,里约热内卢,巴西
766,阿布扎比,阿联酋
772,毕尔巴鄂,西班牙
775,尼斯,法国
777,贝尔法斯特,英国
776,波尔多,法国
781,欧登塞,丹麦
785,毛里求斯,毛里求斯
780,格拉斯哥,英国
787,斯塔万格,挪威
792,索非亚,保加利亚
726,夏威夷,美国
738,光州,韩国
736,清州,韩国
742,沙迦,阿联酋
739,萨尔茨堡,奥地利
759,蒙特利尔,加拿大
760,渥太华,加拿大
761,卡尔加里,加拿大
764,纽伦堡,德国
765,斯图加特,德国
763,汉堡,德国
762,杜塞尔多夫,德国
728,凯恩斯,澳大利亚
724,孟买,印度
722,曼彻斯特,英国
721,牛津,英国
720,高雄,中国
719,乌特勒支,荷兰
716,马斯垂克,荷兰
718,鹿特丹,荷兰
717,格拉纳达,西班牙
707,巴塞罗那,西班牙
706,爱丁堡,英国
710,雅典,希腊
709,科隆,德国
715,海牙,荷兰
714,戛纳,法国
713,里昂,法国
711,奥林匹亚,希腊
712,马赛,法国
682,达尔文,澳大利亚
691,墨西哥城,墨西哥
688,威尼斯,意大利
687,佛罗伦萨,意大利
684,约翰内斯堡,南非
685,坎特伯雷,新西兰
683,开普敦,南非
701,休斯敦,美国
700,盐湖城,美国
699,丹佛,美国
698,圣迭戈,美国
705,达拉斯,美国
704,亚特兰大,美国
703,波士顿,美国
702,迈阿密,美国
5780,科罗尔,帕劳群岛
5768,罗斯托克,德国
5821,萨尔布吕肯,德国
5690,圣港,葡萄牙
5686,普雷韦扎莱夫卡斯,希腊
5740,雷丁,美国
5589,屏东,中国
5543,帕罗斯,希腊
5322,梅里达,委内瑞拉
5337,马拉松,美国
5243,凯法利尼亚,希腊
5244,贝尔热拉克,法国
5212,多维尔,法国
20787,盖尔森基兴,德国
20785,波鸿,德国
20751,伊豆,日本
20748,茨城,日本
20754,和歌山县,日本
20747,群马县,日本
20774,卡莱尔,美国
20746,栃木县,日本
20937,江陵,中国
20326,克利夫兰,美国
19703,沃尔夫斯堡,德国
1489,亚历山大,埃及
1476,克里斯蒂安桑,挪威
1463,波兹南,波兰
1462,里尔,法国
1461,格但斯克,波兰
1460,巴尔的摩,美国
1459,夏洛特,美国
1444,道格拉斯港,澳大利亚
1441,奥尔堡,丹麦
1451,因斯布鲁克,奥地利
1448,弗罗茨瓦夫,波兰
1450,波恩,德国
1446,霍巴特,澳大利亚
1419,卡塔尼亚,意大利
1417,塞萨洛尼基,希腊
1429,里米尼,意大利
1432,卡利亚里,意大利
1431,巴里,意大利
1433,热那亚,意大利
1430,安科纳,意大利
1399,坦帕,美国
1405,甲米,泰国
1394,的里雅斯特,意大利
1420,维罗纳,意大利
1418,萨格勒布,克罗地亚
1408,基尔,德国
1415,奥格斯堡,德国
1413,腓特烈港,德国
1414,蒙斯特,德国
1411,多特蒙德,德国
1382,山打根,马来西亚
1351,瓦伦西亚,西班牙
1297,达尼丁,新西兰
1347,比萨,意大利
1350,塞维利亚,西班牙
1296,莱比锡,德国
1294,蒙彼利埃,法国
1298,布法罗,美国
70781,伊瓦尔,比利时
73146,加来,法国
73552,洛尔施,德国
73609,奥彭海姆,德国
74149,德累斯顿,德国
60677,巴拿马,哥斯达黎加
1825,图尔,法国
1815,科希策,捷克
1833,特拉帕尼,意大利
1841,皇后镇,瑞士
1868,里士满,美国
1873,西棕榈滩,美国
1865,奥尔巴尼,美国
1753,加济安泰普,土耳其
1742,普瓦捷,法国
1743,坎佩尔,法国
1745,维多利亚,加拿大
1767,安特卫普,比利时
1709,比隆,丹麦
1484,南特,法国
1741,勒芒,法国
1715,比亚里茨,法国
1714,巴斯蒂亚,法国
1712,阿雅克肖,法国
1779,宫崎,日本
1777,芽庄,越南
1783,伊伐洛,芬兰
1771,勒阿弗尔,法国
1813,阳光海岸,澳大利亚
1814,阿尔滕莱茵,瑞士
1796,坦佩雷,芬兰
1795,图尔库,芬兰
1794,罗凡涅米,芬兰
26619,休斯顿,美国
26620,留尼汪,美国
27100,不伦瑞克,美国
26786,布莱顿,美国
27027,布伦瑞克,美国
6056,蒂马鲁,新西兰
5993,什切青,波兰
6004,波普拉德,斯洛伐克
5980,水原,韩国
5979,斯旺西,英国
5957,拉默齐亚,意大利
5902,萨莫斯,希腊
59,澳门,中国
62,马六甲,马来西亚
64,云顶高原,马来西亚
67,沙巴,马来西亚
38998,埃讷安,卢森堡
39001,埃希特纳赫,卢森堡
38775,普拉查蒂斯,捷克
38794,斯尼,捷克
38800,泰尔奇,捷克
38802,特雷斯特,捷克
38805,特热比奇,捷克
38822,伊钦,捷克
38693,比尔森,捷克
38739,克罗梅日什,捷克
38742,库特纳霍拉,捷克
38746,里卡尼,捷克
38750,利托米什尔,捷克
38754,鲁济涅,捷克
38758,罗兹托基,捷克
38430,豪达,荷兰
38449,霍夫多普,荷兰
38451,霍林赫姆,荷兰
38464,卡兰茨奥赫,荷兰
38470,坎珀兰,荷兰
38486,莱克凯尔克,荷兰
38491,赖斯韦克,荷兰
38492,兰德赫拉夫,荷兰
38498,雷斯登,荷兰
38519,马尔肯,荷兰
38530,蒙特福特,荷兰
38556,欧特罗,荷兰
38562,萨森海姆,荷兰
38564,桑特普尔特北,荷兰
38572,史基浦,荷兰
38575,斯海弗宁恩,荷兰
38577,斯莱克－埃韦克,荷兰
38609,瓦瑟纳尔,荷兰
38631,维斯普,荷兰
38640,沃尔弗哈,荷兰
38641,沃库姆,荷兰
38642,沃莫维尔,荷兰
38645,乌斯特毕克,荷兰
38651,希尔瓦伦比克,荷兰
38652,希佛萨姆,荷兰
38657,新芬讷普,荷兰
38659,羊角村,荷兰
38665,宰斯特,荷兰
38666,赞丹,荷兰
38671,泽沃德,荷兰
38680,兹沃勒,荷兰
38690,贝龙,捷克
38377,多德雷赫特,荷兰
38385,恩斯赫德,荷兰
38394,芬洛,荷兰
38407,盖尔罗普,荷兰
38350,德科赫,荷兰
38360,登堡,荷兰
38363,登海尔德,荷兰
38367,迪温特,荷兰
38268,安代克,荷兰
38295,巴勒纳绍,荷兰
38298,巴特霍芬多普,荷兰
38307,贝克贝亨,荷兰
38312,比塞尔,荷兰
38317,滨海韦克,荷兰
38326,博文卡尔斯佩尔,荷兰
38330,布勒克伦,荷兰
38345,德比尔特,荷兰
38227,于韦斯屈莱,芬兰
38237,阿姆斯特尔芬,荷兰
38241,阿斯米尔,荷兰
38243,埃德,荷兰
38173,埃斯波,芬兰
37555,格鲁特·拜加登,比利时
38059,罗斯基勒,丹麦
38086,斯卡恩,丹麦
38102,瓦尔德,丹麦
38019,赫尔辛格,丹麦
37647,摩尔,比利时
37656,内纲莱,比利时
37701,斯帕,比利时
37714,通厄伦,比利时
37715,图尔奈,比利时
31755,伊尔梅瑙,德国
37597,克诺克－海斯特,比利时
37602,拉纳肯,比利时
37609,兰登,比利时
37620,列日,比利时
37623,鲁汶,比利时
37638,马泽克,比利时
37517,布兰肯贝赫,比利时
37521,布永,比利时
37528,登德尔蒙德,比利时
37535,迭戈姆,比利时
37550,弗勒吕斯,比利时
32507,卡斯特尔罗托,意大利
31749,耶拿,德国
31742,新伊森堡,德国
31685,伍珀塔尔,德国
31707,希尔塔赫,德国
31711,希格,德国
31717,希特多夫,德国
31735,欣特察尔滕,德国
31662,沃尔姆斯,德国
31672,乌尔丁根-米尔霍芬,德国
31656,沃尔芬比特尔,德国
31571,韦塞尔,德国
31555,威滕,德国
31558,韦茨拉尔,德国
31568,韦黑幕斯菲尔德,德国
31469,特里贝格,德国
31478,特罗斯多夫,德国
31431,索林根,德国
31379,施万高,德国
31383,施韦青根,德国
31313,圣沃尔夫冈,德国
31327,施里斯海姆,德国
31342,施派尔,德国
31251,萨勒河畔哈雷,德国
31290,上韦瑟尔,德国
31212,普劳恩,德国
31160,诺伊斯,德国
31096,尼布尔,德国
31134,诺德施泰特,德国
31039,米滕瓦尔德,德国
31044,明斯特,德国
31057,墨菲尔登-瓦尔多夫,德国
31032,米莱姆,德国
31003,梅青根,德国
31008,梅斯珀尔布伦,德国
31000,梅明根,德国
27320,基希海姆,德国
27350,莱门,德国
27352,利沃夫,德国
27429,塔勒,德国
28186,圣雷米,法国
30990,梅尔斯堡,德国
524,雅加达,印度尼西亚
1717,卡尔维,法国
1716,克莱蒙费朗,法国
1721,洛里昂,法国
1719,格勒诺布尔,法国
1739,布雷斯特,法国
1738,昂热,法国
1733,利兹,英国
1731,爱因霍温,荷兰
1729,土伦,法国
1727,罗德兹,法国
1726,波城,法国
1722,米卢斯,法国
549,芝加哥,美国
532,伊斯坦布尔,土耳其
361,米兰,意大利
360,名古屋,日本
363,慕尼黑,德国
366,莫斯科,俄罗斯
1740,利摩日,法国
357,马德里,西班牙
343,罗马,意大利
346,丽水,中国
253,釜山,韩国
193,柏林,德国
196,布鲁塞尔,比利时
250,法兰克福,德国
260,哥本哈根,丹麦
271,横滨,日本
248,福冈,日本
286,河内,越南
277,赫尔辛基,芬兰
176,阿姆斯特丹,荷兰
